	KyliePenticost	weathernetwork	taitrealty	Kingelin1	
aaa	0.0032219693523215325	0.0	0.0	0.0	
aaahhh	0.0032219693523215325	0.0	0.0	0.0	
aafnauel	0.0	0.0038291490663138186	0.0	0.0	
ab	0.0	0.007658298132627637	0.0035357921171542137	0.0	
abandoning	0.0	0.0	0.007071584234308427	0.0	
abbotsford	0.0	0.0038291490663138186	0.0	0.0	
abcs	0.0032219693523215325	0.0	0.0	0.0	
abd	0.0	0.0038291490663138186	0.0	0.0	
abergeldie	0.0	0.0038291490663138186	0.0	0.0	
abfire	0.0032219693523215325	0.0	0.0	0.0	
abflood	0.0032219693523215325	0.0	0.0	0.0	
abilities	0.0	0.0	0.014143168468616855	0.0	
ability	0.0016109846761607663	0.0	0.0035357921171542137	0.0	
abm	0.0	0.0038291490663138186	0.0	0.0	
aboard	0.0	0.0038291490663138186	0.0	0.0	
abominable	0.0	0.0038291490663138186	0.0	0.0	
aborted	0.0	0.0038291490663138186	0.0	0.0	
aborts	0.0	0.0038291490663138186	0.0	0.0	
abou	0.0	0.0	0.007071584234308427	0.0	
abpictwittercom	0.0	0.0038291490663138186	0.0	0.0	
absk	0.0	0.0038291490663138186	0.0	0.0	
absolute	0.009665908056964597	0.0	0.0	0.0	
absolutely	0.0	0.0	0.0	0.0	
abstorm	0.0	0.007658298132627637	0.0	0.0	
absurd	0.0	0.0	0.0	0.024723083363979048	
abundant	0.0032219693523215325	0.0	0.0	0.0	
abundantly	0.0032219693523215325	0.0	0.0	0.0	
abuse	0.0	0.0	0.0	0.024723083363979048	
ac	0.0	0.0019145745331569093	0.0	0.012361541681989524	
academy	0.0	0.0	0.0	0.049446166727958096	
accent	0.0032219693523215325	0.0	0.0	0.0	
accept	0.0048329540284822985	0.0019145745331569093	0.0	0.0	
acceptable	0.0048329540284822985	0.0	0.0	0.012361541681989524	
acceptchallenge	0.0032219693523215325	0.0	0.0	0.0	
accepted	0.006443938704643065	0.0	0.0	0.0	
accepting	0.0	0.0	0.014143168468616855	0.0	
accepts	0.0	0.0	0.007071584234308427	0.0	
access	0.0020058571541109065	0.0	0.005869945273094133	0.005130503346924123	
accessible	0.0	0.0	0.014143168468616855	0.0	
accident	0.022553785466250725	0.0	0.0	0.0	
accomplished	0.0032219693523215325	0.0	0.0	0.0	
accomplishment	0.0032219693523215325	0.0	0.0	0.012361541681989524	
accomplishments	0.006443938704643065	0.0	0.0	0.0	
account	0.006443938704643065	0.0	0.007071584234308427	0.0	
accountable	0.0032219693523215325	0.0	0.0	0.0	
accountant	0.0	0.007658298132627637	0.0	0.0	
accounted	0.0	0.0	0.0	0.024723083363979048	
accounts	0.0	0.0	0.007071584234308427	0.0	
accredited	0.0032219693523215325	0.0	0.0	0.0	
accretion	0.0	0.0038291490663138186	0.0	0.0	
accumulates	0.0	0.0038291490663138186	0.0	0.0	
accurate	0.0	0.0038291490663138186	0.0	0.0	
accused	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
achieve	0.01288787740928613	0.0	0.0	0.0	
achieved	0.01288787740928613	0.0	0.0	0.0	
achievement	0.0	0.0	0.007071584234308427	0.0	
acne	0.0032219693523215325	0.0	0.0	0.0	
acq	0.0	0.0	0.007071584234308427	0.0	
acquaintance	0.0032219693523215325	0.0	0.0	0.0	
acquired	0.0016109846761607663	0.0	0.014143168468616855	0.0	
acquires	0.0	0.0	0.014143168468616855	0.0	
acquisition	0.0	0.0	0.007071584234308427	0.0	
acre	0.0032219693523215325	0.0	0.0	0.0	
acrescenzi	0.0032219693523215325	0.0	0.0	0.0	
acting	0.0016109846761607663	0.0	0.0	0.03708462504596857	
action	0.0	0.0	0.0	0.0	
actionable	0.0	0.0	0.007071584234308427	0.0	
actions	0.0016109846761607663	0.0	0.0	0.012361541681989524	
active	6.686190513703023E-4	0.006356961811395226	0.0	0.005130503346924123	
activists	0.0	0.0	0.0035357921171542137	0.012361541681989524	
activities	0.0	0.0	0.0	0.0	
activity	0.0	0.0	0.0	0.0	
actors	0.0	0.0	0.0	0.024723083363979048	
actress	0.0	0.0038291490663138186	0.0	0.0	
acts	0.0032219693523215325	0.0	0.0	0.0	
actual	0.0	0.0	0.007071584234308427	0.0	
ad	0.0	0.007658298132627637	0.0035357921171542137	0.0	
adampayerl	0.0032219693523215325	0.0	0.0	0.0	
adamscully	0.0032219693523215325	0.0	0.0	0.0	
add	0.004680333359592116	0.0015892404528488064	0.0088049179096412	0.0	
addict	0.0032219693523215325	0.0	0.0035357921171542137	0.0	
addicted	0.009665908056964597	0.0019145745331569093	0.0	0.0	
addicting	0.009665908056964597	0.0	0.0	0.0	
addictive	0.0	0.0	0.0	0.024723083363979048	
adding	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
addison	0.0	0.0038291490663138186	0.0	0.0	
addition	0.008054923380803831	0.0	0.01060737635146264	0.0	
additional	0.0	0.0038291490663138186	0.0	0.0	
additions	0.0016109846761607663	0.0	0.007071584234308427	0.0	
addre	0.0	0.0	0.007071584234308427	0.0	
address	0.0	0.0	0.007071584234308427	0.0	
adds	0.0	0.0	0.04242950540585056	0.012361541681989524	
adios	0.0	0.0	0.007071584234308427	0.0	
adjustment	0.0032219693523215325	0.0	0.0	0.0	
adl	0.0	0.0038291490663138186	0.0	0.0	
admin	0.0	0.0	0.007071584234308427	0.0	
administration	0.0	0.0	0.007071584234308427	0.0	
admiration	0.0	0.0	0.0	0.024723083363979048	
admit	0.006443938704643065	0.0	0.0	0.0	
admits	0.0	0.0	0.014143168468616855	0.0	
adobe	0.0	0.0	0.05657267387446742	0.0	
adopted	0.0	0.0	0.0	0.12361541681989524	
adorable	0.0048329540284822985	0.0057437235994707275	0.0	0.0	
adore	0.0	0.0	0.0	0.024723083363979048	
adrenaline	0.0032219693523215325	0.0	0.0	0.0	
adrienneks	0.016109846761607663	0.0	0.0	0.0	
ads	0.0	0.0	0.05657267387446742	0.0	
adsjqr	0.0	0.0038291490663138186	0.0	0.0	
adult	0.0	0.0	0.007071584234308427	0.0	
adulthood	0.0032219693523215325	0.0	0.0	0.0	
advance	0.016109846761607663	0.0	0.0	0.0	
advanced	0.0	0.0	0.02121475270292528	0.0	
advancedwarning	0.0032219693523215325	0.0	0.0	0.0	
advantage	0.0032219693523215325	0.0038291490663138186	0.0	0.0	
adventure	0.006017571462332721	7.946202264244032E-4	0.0044024589548206	0.0	
adventurer	0.006443938704643065	0.0	0.0	0.0	
adventures	6.686190513703023E-4	7.946202264244032E-4	0.0044024589548206	0.0	
adverti	0.0	0.0	0.007071584234308427	0.0	
advertising	0.0	0.0	0.014143168468616855	0.0	
advice	0.0	0.0	0.0	0.0	
advicejust	0.0032219693523215325	0.0	0.0	0.0	
adviceneeded	0.0032219693523215325	0.0	0.0	0.0	
advise	0.0032219693523215325	0.0	0.0	0.0	
advised	0.0	0.0038291490663138186	0.0	0.0	
advisor	0.0	0.0	0.007071584234308427	0.0	
advisories	0.0	0.007658298132627637	0.0	0.0	
advisory	0.0	0.0019145745331569093	0.007071584234308427	0.0	
advocacy	0.0	0.0	0.007071584234308427	0.0	
advocate	0.0032219693523215325	0.0	0.0	0.0	
advocates	0.0032219693523215325	0.0	0.0	0.0	
adware	0.0	0.0	0.014143168468616855	0.0	
adwords	0.0	0.0	0.007071584234308427	0.0	
ae	0.0	0.0038291490663138186	0.0	0.0	
aebxvz	0.0	0.0038291490663138186	0.0	0.0	
aeg	0.0	0.0	0.007071584234308427	0.0	
aerial	0.0	0.0	0.007071584234308427	0.0	
af	0.0	0.0038291490663138186	0.0	0.0	
affair	0.0	0.0	0.007071584234308427	0.0	
affect	0.0	0.003178480905697613	0.0014674863182735332	0.005130503346924123	
affectionate	0.0	0.0	0.0	0.024723083363979048	
affi	0.0	0.0	0.007071584234308427	0.0	
affiliate	0.0	0.0	0.007071584234308427	0.0	
affiliates	0.0	0.0	0.0	0.024723083363979048	
affinity	0.0	0.0	0.014143168468616855	0.0	
affirmed	0.0	0.0	0.007071584234308427	0.0	
afford	0.0	0.0	0.0035357921171542137	0.012361541681989524	
affordable	0.0032219693523215325	0.0	0.03182212905438792	0.0	
afg	0.0	0.0038291490663138186	0.0	0.0	
afraid	0.0013372381027406046	7.946202264244032E-4	0.0	0.010261006693848246	
africa	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
african	0.0	0.0038291490663138186	0.0	0.0	
aftercast	0.0	0.03446234159682437	0.0	0.0	
aftercastpictwittercomaen	0.0	0.0038291490663138186	0.0	0.0	
aftercastpictwittercomejhqd	0.0	0.0038291490663138186	0.0	0.0	
aftercastpictwittercomgzrrusxfbo	0.0	0.0038291490663138186	0.0	0.0	
aftercastpictwittercomme	0.0	0.0038291490663138186	0.0	0.0	
aftercastpictwittercomxkb	0.0	0.0038291490663138186	0.0	0.0	
aftermarket	0.0	0.0	0.007071584234308427	0.0	
aftermath	0.0	0.007658298132627637	0.0	0.0	
afternoon	0.004011714308221813	0.003973101132122016	0.0014674863182735332	0.0	
afters	0.0	0.0	0.007071584234308427	0.0	
afteve	0.0	0.0038291490663138186	0.0	0.0	
ag	0.0	0.0038291490663138186	0.0	0.0	
agawa	0.0	0.0038291490663138186	0.0	0.0	
age	0.0048329540284822985	0.0019145745331569093	0.0	0.0	
agency	0.0	0.0	0.007071584234308427	0.0	
agencys	0.0	0.0	0.007071584234308427	0.0	
agent	0.0016109846761607663	0.0038291490663138186	0.0	0.0	
agents	0.0	0.0	0.007071584234308427	0.0	
ages	0.0016109846761607663	0.0	0.0	0.012361541681989524	
aggressive	0.006443938704643065	0.0	0.0	0.0	
agirlsdream	0.0032219693523215325	0.0	0.0	0.0	
ago	0.0	0.0	0.0	0.0	
agree	0.0	0.0	0.0	0.0	
agreed	0.0	0.0	0.007071584234308427	0.012361541681989524	
agreement	0.0	0.0	0.02121475270292528	0.0	
agrees	0.0032219693523215325	0.0	0.0035357921171542137	0.0	
agriculture	0.0	0.0	0.014143168468616855	0.0	
agzljkbbj	0.0	0.0038291490663138186	0.0	0.0	
ahead	0.0013372381027406046	0.03814177086837135	0.0044024589548206	0.0	
aheadthe	0.0	0.0	0.0	0.024723083363979048	
ahfridays	0.0032219693523215325	0.0	0.0	0.0	
ahh	0.0032219693523215325	0.0	0.0	0.0	
ahl	0.01288787740928613	0.0	0.0	0.0	
ahmazing	0.0032219693523215325	0.0	0.0	0.0	
aho	0.0	0.0038291490663138186	0.0	0.0	
ai	0.0	0.0038291490663138186	0.0	0.0	
aim	0.0	0.0038291490663138186	0.0035357921171542137	0.0	
aiming	0.0	0.0038291490663138186	0.0	0.0	
aims	0.0	0.0	0.04242950540585056	0.0	
air	0.002674476205481209	0.011919303396366049	0.016142349501008863	0.0	
